time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3950|-4035116.355474091,-7426893.104018954,2118250.1591768395|5085.983486516864,-2264.9228849975957,-1574.7090741292589|0,0,0|0,0,0|0,0,0|-0.9999996905887266,-0.0007866524256692109,0|9.7445023214693
3951|-4032177.6050601103,-7428200.8797912225,2117340.183492384|5087.3875888717575,-2262.337374565028,-1575.4462732975808|0,0,0|0,0,0|0,0,0|-0.9999996904320826,-0.0007868515277353566,0|9.744641428786803
3952|-4029159.6587453457,-7429541.96887633,2116405.5032387096|5088.82829739961,-2259.682023920336,-1576.2029211516299|0,0,0|0,0,0|0,0,0|-0.9999996902753989,-0.000787050629801471,0|9.74478053615957
3953|-4026217.2813832364,-7430847.595997842,2115494.050026331|5090.231729071045,-2257.093002726906,-1576.9402152511411|0,0,0|0,0,0|0,0,0|-0.9999996901186756,-0.0007872497318675544,0|9.7449196435876
3954|-4023195.609324323,-7432186.476839436,2114557.8518974073|5091.671748148613,-2254.4340444673244,-1577.6969605624447|0,0,0|0,0,0|0,0,0|-0.9999996899619127,-0.0007874488339336065,0|9.745058751070893
3955|-4020249.5984828873,-7433489.949360227,2113644.918300443|5093.074506954641,-2251.8415038046196,-1578.4343496463955|0,0,0|0,0,0|0,0,0|-0.9999996898051101,-0.0007876479359996273,0|9.745197858609446
3956|-4017224.1939706197,-7434826.615835875,2112707.1993607786|5094.513834332824,-2249.178928979651,-1579.1911924673998|0,0,0|0,0,0|0,0,0|-0.9999996896482679,-0.000787847038065617,0|9.745336966203263
3957|-4014274.543106677,-7436127.92777499,2111792.7825154327|5095.9159180725155,-2246.58286011404,-1579.928676584742|0,0,0|0,0,0|0,0,0|-0.9999996894913861,-0.0007880461401315754,0|9.745476073852343
3958|-4011245.399419568,-7437462.373730371,2110853.539822214|5097.354551482666,-2243.9166597472695,-1580.685616963462|0,0,0|0,0,0|0,0,0|-0.9999996893344645,-0.0007882452421975026,0|9.745615181556685
3959|-4008292.1019780184,-7438761.519075698,2109937.636857567|5098.755957935976,-2241.3170539198736,-1581.423196158807|0,0,0|0,0,0|0,0,0|-0.9999996891775033,-0.0007884443442633986,0|9.745754289316292
